#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string
#default,last,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,container_image,container_name,container_status,container_version,engine_host,host,server_version,source
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:11:00Z,294260736,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:11:15Z,298450944,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:11:30Z,292909056,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:11:45Z,340758528,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:12:00Z,84480000,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,0,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:12:15Z,238706688,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,03b249c0b0c0
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:19:45Z,139087872,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:20:00Z,120975360,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:20:15Z,146927616,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
,,1,2021-06-07T20:25:58.098613495Z,2021-06-07T21:25:58.098613495Z,2021-06-07T21:20:30Z,52174848,active_anon,docker_container_mem,progrium/stress,test_container,running,unknown,cloud,cloud,20.10.5,22efdf4cb831
